points= -15.74121166
points= -15.74121151
points= -15.74121181
points= -15.74121175
points= -15.74121177
points= -15.74121173
points= -15.72953635
points= -15.73993076
points= -15.74102733
points= -15.74118053
points= -15.74120565
points= -15.74121058
points= -15.74121150
points= -15.74121155
points= -15.74121166
points= -15.74121151
points= -15.74121181
points= -15.74121175
points= -15.74121177
points= -15.74121173
points= -15.72953635
points= -15.73993076
points= -15.74102733
points= -15.74118053
points= -15.74120565
points= -15.74121058
points= -15.74121150
points= -15.74121155
